SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
41998,1610612750,MIN,Minnesota Timberwolves,0049800014,1999-05-11,MIN @ SAS,W,235,80,34,86,0.395,3,8,0.375,9,14,0.643,19,27,46,24,7,6,14,21,9.0
41998,1610612749,MIL,Milwaukee Bucks,0049800015,1999-05-11,MIL @ IND,L,259,107,39,78,0.5,7,15,0.467,22,28,0.786,9,33,42,25,9,5,23,34,-1.0
41998,1610612755,PHI,Philadelphia 76ers,0049800013,1999-05-11,PHI @ ORL,L,235,68,27,74,0.365,1,11,0.091,13,17,0.765,11,25,36,19,11,6,19,31,-11.0
41998,1610612753,ORL,Orlando Magic,0049800013,1999-05-11,ORL vs. PHI,W,236,79,28,70,0.4,2,15,0.133,21,27,0.778,10,30,40,15,7,5,20,23,11.0
41998,1610612752,NYK,New York Knicks,0049800009,1999-05-10,NYK @ MIA,L,235,73,27,69,0.391,5,17,0.294,14,20,0.7,9,23,32,11,11,2,15,26,-10.0
41998,1610612758,SAC,Sacramento Kings,0049800011,1999-05-10,SAC @ UTA,W,236,101,36,72,0.5,8,15,0.533,21,28,0.75,4,29,33,21,9,6,15,18,11.0
41998,1610612737,ATL,Atlanta Hawks,0049800010,1999-05-10,ATL vs. DET,W,236,89,37,79,0.468,4,12,0.333,11,13,0.846,12,29,41,15,10,4,12,15,20.0
41998,1610612757,POR,Portland Trail Blazers,0049800012,1999-05-10,POR vs. PHX,W,235,110,39,68,0.574,6,12,0.5,26,35,0.743,8,31,39,27,7,3,14,24,11.0
41998,1610612762,UTA,Utah Jazz,0049800011,1999-05-10,UTA vs. SAC,L,235,90,33,83,0.398,1,11,0.091,23,29,0.793,13,34,47,23,10,7,14,22,-11.0
41998,1610612765,DET,Detroit Pistons,0049800010,1999-05-10,DET @ ATL,L,235,69,28,72,0.389,2,7,0.286,11,15,0.733,11,24,35,15,8,2,13,19,-20.0
41998,1610612748,MIA,Miami Heat,0049800009,1999-05-10,MIA vs. NYK,W,236,83,30,59,0.508,5,10,0.5,18,27,0.667,5,30,35,22,6,6,16,20,10.0
41998,1610612756,PHX,Phoenix Suns,0049800012,1999-05-10,PHX @ POR,L,236,99,36,82,0.439,9,18,0.5,18,26,0.692,15,21,36,23,9,1,11,28,-11.0
41998,1610612749,MIL,Milwaukee Bucks,0049800008,1999-05-09,MIL @ IND,L,233,88,33,80,0.413,2,14,0.143,20,27,0.741,13,20,33,13,11,4,12,29,-22.0
41998,1610612754,IND,Indiana Pacers,0049800008,1999-05-09,IND vs. MIL,W,232,110,39,79,0.494,9,20,0.45,23,27,0.852,19,32,51,27,5,5,17,23,22.0
41998,1610612755,PHI,Philadelphia 76ers,0049800005,1999-05-09,PHI @ ORL,W,233,104,38,85,0.447,3,13,0.231,25,37,0.676,24,33,57,20,9,5,19,30,14.0
41998,1610612759,SAS,San Antonio Spurs,0049800006,1999-05-09,SAS vs. MIN,W,235,99,39,81,0.481,4,7,0.571,17,22,0.773,10,29,39,24,8,4,10,18,13.0
41998,1610612753,ORL,Orlando Magic,0049800005,1999-05-09,ORL vs. PHI,L,235,90,28,78,0.359,6,21,0.286,28,39,0.718,17,19,36,21,12,3,15,30,-14.0
41998,1610612745,HOU,Houston Rockets,0049800007,1999-05-09,HOU @ LAL,L,234,100,38,73,0.521,6,14,0.429,18,23,0.783,9,28,37,20,5,7,14,27,-1.0
41998,1610612747,LAL,Los Angeles Lakers,0049800007,1999-05-09,LAL vs. HOU,W,235,101,37,78,0.474,7,13,0.538,20,30,0.667,11,23,34,26,6,7,9,23,1.0
41998,1610612750,MIN,Minnesota Timberwolves,0049800006,1999-05-09,MIN @ SAS,L,234,86,33,72,0.458,2,5,0.4,18,21,0.857,9,32,41,19,6,8,18,26,-13.0
41998,1610612756,PHX,Phoenix Suns,0049800002,1999-05-08,PHX @ POR,L,236,85,32,79,0.405,5,21,0.238,16,18,0.889,6,28,34,20,11,1,15,28,-10.0
41998,1610612762,UTA,Utah Jazz,0049800003,1999-05-08,UTA vs. SAC,W,235,117,48,85,0.565,4,6,0.667,17,21,0.81,12,36,48,31,10,7,13,24,30.0
41998,1610612748,MIA,Miami Heat,0049800001,1999-05-08,MIA vs. NYK,L,233,75,27,78,0.346,5,24,0.208,16,24,0.667,9,25,34,13,11,6,8,13,-20.0
41998,1610612752,NYK,New York Knicks,0049800001,1999-05-08,NYK @ MIA,W,235,95,39,74,0.527,5,10,0.5,12,15,0.8,7,38,45,18,8,6,13,20,20.0
41998,1610612758,SAC,Sacramento Kings,0049800003,1999-05-08,SAC @ UTA,L,233,87,31,85,0.365,6,20,0.3,19,24,0.792,13,25,38,14,9,3,18,25,-30.0
41998,1610612757,POR,Portland Trail Blazers,0049800002,1999-05-08,POR vs. PHX,W,235,95,33,69,0.478,3,9,0.333,26,35,0.743,7,39,46,24,10,7,17,19,10.0
41998,1610612737,ATL,Atlanta Hawks,0049800004,1999-05-08,ATL vs. DET,W,234,90,36,77,0.468,6,14,0.429,12,15,0.8,8,28,36,18,13,8,10,14,20.0
41998,1610612765,DET,Detroit Pistons,0049800004,1999-05-08,DET @ ATL,L,236,70,28,75,0.373,1,6,0.167,13,16,0.813,12,29,41,13,7,2,15,19,-20.0
